Harvest a Field
# first street, first avenue, num streets, num avenues showing 
0 0 10 10
# intersection size (in pixels) 
38
# things


# wall
becker.robots.Wall -1 -1 Direction.NORTH
becker.robots.Wall  -1 0 Direction.NORTH
becker.robots.Wall  -1 1 Direction.NORTH
becker.robots.Wall  -1 2 Direction.NORTH
becker.robots.Wall  -1 3 Direction.NORTH
becker.robots.Wall  -1 4 Direction.NORTH
becker.robots.Wall  -1 5 Direction.NORTH
becker.robots.Wall  -1 6 Direction.NORTH
becker.robots.Wall  -1 7 Direction.NORTH
becker.robots.Wall  -1 8 Direction.NORTH
becker.robots.Wall  -1 9 Direction.NORTH
becker.robots.Wall  -1 10 Direction.NORTH
becker.robots.Wall  -1 11 Direction.NORTH
becker.robots.Wall  -1 12 Direction.NORTH
becker.robots.Wall  -1 13 Direction.NORTH
becker.robots.Wall  -1 14 Direction.NORTH
becker.robots.Wall  -1 15 Direction.NORTH
becker.robots.Wall  -1 16 Direction.NORTH
becker.robots.Wall  -1 17 Direction.NORTH
becker.robots.Wall  -1 18 Direction.NORTH
becker.robots.Wall  -1 19 Direction.NORTH
becker.robots.Wall  -1 20 Direction.NORTH
becker.robots.Wall  -1 21 Direction.NORTH
becker.robots.Wall  -1 22 Direction.NORTH
becker.robots.Wall  -1 23 Direction.NORTH
becker.robots.Wall  -1 24 Direction.NORTH
becker.robots.Wall  -1 25 Direction.NORTH
becker.robots.Wall  -1 26 Direction.NORTH
becker.robots.Wall  -1 27 Direction.NORTH
becker.robots.Wall  -1 28 Direction.NORTH
becker.robots.Wall  -1 29 Direction.NORTH
becker.robots.Wall  -1 30 Direction.NORTH
becker.robots.Wall  -1 31 Direction.NORTH
becker.robots.Wall  -1 32 Direction.NORTH
becker.robots.Wall  -1 33 Direction.NORTH
becker.robots.Wall  -1 34 Direction.NORTH
becker.robots.Wall  -1 35 Direction.NORTH
becker.robots.Wall  -1 36 Direction.NORTH
becker.robots.Wall  -1 37 Direction.NORTH
becker.robots.Wall  -1 38 Direction.NORTH
becker.robots.Wall  -1 39 Direction.NORTH
becker.robots.Wall  -1 40 Direction.NORTH
becker.robots.Wall  -1 41 Direction.NORTH

becker.robots.Wall -1 -1 Direction.WEST
becker.robots.Wall 0 -1 Direction.WEST
becker.robots.Wall 1 -1 Direction.WEST
becker.robots.Wall 2 -1 Direction.WEST
becker.robots.Wall 3 -1 Direction.WEST
becker.robots.Wall 4 -1 Direction.WEST
becker.robots.Wall 5 -1 Direction.WEST
becker.robots.Wall 6 -1 Direction.WEST
becker.robots.Wall 7 -1 Direction.WEST
becker.robots.Wall 8 -1 Direction.WEST
becker.robots.Wall 9 -1 Direction.WEST
becker.robots.Wall 10 -1 Direction.WEST
becker.robots.Wall 11 -1 Direction.WEST
becker.robots.Wall 12 -1 Direction.WEST
becker.robots.Wall 13 -1 Direction.WEST
becker.robots.Wall 14 -1 Direction.WEST
becker.robots.Wall 15 -1 Direction.WEST
becker.robots.Wall 16 -1 Direction.WEST
becker.robots.Wall 17 -1 Direction.WEST
becker.robots.Wall 18 -1 Direction.WEST
becker.robots.Wall 19 -1 Direction.WEST
becker.robots.Wall 20 -1 Direction.WEST
becker.robots.Wall 21 -1 Direction.WEST

becker.robots.Wall -1 41 Direction.EAST
becker.robots.Wall 0 41 Direction.EAST
becker.robots.Wall 1 41 Direction.EAST
becker.robots.Wall 2 41 Direction.EAST
becker.robots.Wall 3 41 Direction.EAST
becker.robots.Wall 4 41 Direction.EAST
becker.robots.Wall 5 41 Direction.EAST
becker.robots.Wall 6 41 Direction.EAST
becker.robots.Wall 7 41 Direction.EAST
becker.robots.Wall 8 41 Direction.EAST
becker.robots.Wall 9 41 Direction.EAST
becker.robots.Wall 10 41 Direction.EAST
becker.robots.Wall 11 41 Direction.EAST
becker.robots.Wall 12 41 Direction.EAST
becker.robots.Wall 13 41 Direction.EAST
becker.robots.Wall 14 41 Direction.EAST
becker.robots.Wall 15 41 Direction.EAST
becker.robots.Wall 16 41 Direction.EAST
becker.robots.Wall 17 41 Direction.EAST
becker.robots.Wall 18 41 Direction.EAST
becker.robots.Wall 19 41 Direction.EAST
becker.robots.Wall 20 41 Direction.EAST
becker.robots.Wall 21 41 Direction.EAST

becker.robots.Wall  21 -1 Direction.SOUTH
becker.robots.Wall  21 0 Direction.SOUTH
becker.robots.Wall  21 1 Direction.SOUTH
becker.robots.Wall  21 2 Direction.SOUTH
becker.robots.Wall  21 3 Direction.SOUTH
becker.robots.Wall  21 4 Direction.SOUTH
becker.robots.Wall  21 5 Direction.SOUTH
becker.robots.Wall  21 6 Direction.SOUTH
becker.robots.Wall  21 7 Direction.SOUTH
becker.robots.Wall  21 8 Direction.SOUTH
becker.robots.Wall  21 9 Direction.SOUTH
becker.robots.Wall  21 10 Direction.SOUTH
becker.robots.Wall  21 11 Direction.SOUTH
becker.robots.Wall  21 12 Direction.SOUTH
becker.robots.Wall  21 13 Direction.SOUTH
becker.robots.Wall  21 14 Direction.SOUTH
becker.robots.Wall  21 15 Direction.SOUTH
becker.robots.Wall  21 16 Direction.SOUTH
becker.robots.Wall  21 17 Direction.SOUTH
becker.robots.Wall  21 18 Direction.SOUTH
becker.robots.Wall  21 19 Direction.SOUTH
becker.robots.Wall  21 20 Direction.SOUTH
becker.robots.Wall  21 21 Direction.SOUTH
becker.robots.Wall  21 22 Direction.SOUTH
becker.robots.Wall  21 23 Direction.SOUTH
becker.robots.Wall  21 24 Direction.SOUTH
becker.robots.Wall  21 25 Direction.SOUTH
becker.robots.Wall  21 26 Direction.SOUTH
becker.robots.Wall  21 27 Direction.SOUTH
becker.robots.Wall  21 28 Direction.SOUTH
becker.robots.Wall  21 29 Direction.SOUTH
becker.robots.Wall  21 30 Direction.SOUTH
becker.robots.Wall  21 31 Direction.SOUTH
becker.robots.Wall  21 32 Direction.SOUTH
becker.robots.Wall  21 33 Direction.SOUTH
becker.robots.Wall  21 34 Direction.SOUTH
becker.robots.Wall  21 35 Direction.SOUTH
becker.robots.Wall  21 36 Direction.SOUTH
becker.robots.Wall  21 37 Direction.SOUTH
becker.robots.Wall  21 38 Direction.SOUTH
becker.robots.Wall  21 39 Direction.SOUTH
becker.robots.Wall  21 40 Direction.SOUTH
becker.robots.Wall  21 41 Direction.SOUTH

